control1	control2	treat1	treat2
gene_1	288	274	161	207
gene_2	789	594	145	943
gene_3	410	161	150	380
gene_4	883	854	515	627
gene_5	941	848	493	184
gene_6	47	478	617	660
gene_7	529	774	448	735
gene_8	893	296	57	496
gene_9	552	67	6	869
gene_10	457	441	223	832
gene_11	957	463	851	983
gene_12	454	342	268	667
gene_13	678	186	599	643
gene_14	573	507	609	46
gene_15	104	20	992	192
gene_16	900	774	192	34
gene_17	247	560	754	847
gene_18	43	642	243	425
gene_19	329	469	328	817
gene_20	955	280	5	153
gene_21	890	462	997	406
gene_22	693	793	439	723
gene_23	641	586	998	61
gene_24	994	395	198	331
gene_25	656	811	112	777
gene_26	709	319	251	841
gene_27	545	582	681	871
gene_28	595	456	578	953
gene_29	290	270	417	385
gene_30	148	556	729	951
gene_31	963	232	575	704
gene_32	902	544	578	423
gene_33	691	448	590	392
gene_34	796	131	224	211
gene_35	26	622	104	753
gene_36	478	548	737	446
gene_37	759	150	613	454
gene_38	217	560	951	84
gene_39	319	427	960	366
gene_40	232	448	745	895
gene_41	144	833	435	545
gene_42	415	720	176	32
gene_43	414	457	436	389
gene_44	369	522	763	114
gene_45	153	243	919	278
gene_46	140	77	907	720
gene_47	234	392	816	377
gene_48	466	14	201	635
gene_49	267	868	51	497
gene_50	858	993	479	808
gene_51	47	709	591	583
gene_52	443	827	98	173
gene_53	799	892	951	937
gene_54	123	540	164	55
gene_55	561	556	922	88
gene_56	207	277	129	842
gene_57	128	660	663	421
gene_58	754	244	784	718
gene_59	895	289	765	736
gene_60	375	716	673	987
gene_61	665	728	117	961
gene_62	96	174	851	143
gene_63	385	307	618	665
gene_64	275	371	837	34
gene_65	815	79	171	495
gene_66	449	713	11	792
gene_67	810	551	324	380
gene_68	813	137	270	948
gene_69	795	974	825	661
gene_70	440	562	934	433
gene_71	755	789	129	839
gene_72	630	849	913	805
gene_73	710	878	606	428
gene_74	2	801	401	330
gene_75	476	641	666	565
gene_76	221	629	768	861
gene_77	380	272	522	586
gene_78	613	31	395	645
gene_79	352	420	966	767
gene_80	112	356	50	693
gene_81	244	393	154	867
gene_82	668	173	697	96
gene_83	418	320	728	610
gene_84	788	414	109	242
gene_85	104	760	465	470
gene_86	435	273	642	285
gene_87	985	116	398	919
gene_88	893	30	990	400
gene_89	887	807	679	566
gene_90	176	481	316	82
gene_91	132	806	155	943
gene_92	653	80	302	736
gene_93	344	116	95	476
gene_94	657	130	28	183
gene_95	321	739	311	731
gene_96	189	757	743	615
gene_97	783	992	960	62
gene_98	95	625	416	54
gene_99	467	289	523	456
gene_100	512	201	68	182
gene_101	600	801	630	492
gene_102	333	728	354	982
gene_103	489	218	425	225
gene_104	955	744	964	713
gene_105	483	867	681	151
gene_106	890	530	719	526
gene_107	915	599	171	829
gene_108	609	938	204	128
gene_109	411	951	877	820
gene_110	148	661	838	247
gene_111	935	73	721	98
gene_112	302	827	282	165
gene_113	62	480	211	665
gene_114	948	392	495	678
gene_115	721	300	522	134
gene_116	143	245	221	980
gene_117	550	422	763	147
gene_118	954	938	25	942
gene_119	586	265	712	701
gene_120	405	569	841	568
gene_121	648	203	931	247
gene_122	321	194	662	342
gene_123	308	719	271	840
gene_124	221	314	219	922
gene_125	370	139	868	516
gene_126	984	59	26	888
gene_127	155	931	850	704
gene_128	92	569	524	424
gene_129	143	119	436	301
gene_130	690	565	931	963
gene_131	620	541	165	126
gene_132	892	820	379	681
gene_133	673	703	139	820
gene_134	737	568	151	217
gene_135	522	722	677	594
gene_136	660	753	563	163
gene_137	822	382	472	406
gene_138	786	289	811	240
gene_139	980	532	962	528
gene_140	440	260	516	671
gene_141	312	832	704	908
gene_142	410	406	182	333
gene_143	11	74	356	243
gene_144	185	954	51	311
gene_145	843	218	153	228
gene_146	232	406	100	124
gene_147	240	626	281	268
gene_148	78	629	388	924
gene_149	246	329	635	57
gene_150	732	140	707	502
gene_151	848	915	327	794
gene_152	498	600	965	838
gene_153	389	750	697	577
gene_154	247	919	162	243
gene_155	112	529	370	582
gene_156	391	373	303	138
gene_157	572	67	459	483
gene_158	218	855	823	95
gene_159	445	511	233	306
gene_160	219	211	403	677
gene_161	503	376	972	206
gene_162	355	208	125	396
gene_163	650	460	631	803
gene_164	375	242	704	229
gene_165	356	120	592	78
gene_166	534	73	997	778
gene_167	741	691	46	670
gene_168	222	288	990	512
gene_169	413	150	746	215
gene_170	266	972	437	189
gene_171	630	411	154	612
gene_172	185	402	449	40
gene_173	864	649	187	230
gene_174	747	916	427	824
gene_175	669	217	821	301
gene_176	618	548	51	17
gene_177	373	720	326	962
gene_178	530	398	843	89
gene_179	875	95	41	748
gene_180	582	635	792	836
gene_181	840	3	962	17
gene_182	313	211	661	853
gene_183	709	679	10	551
gene_184	266	866	466	340
gene_185	595	800	717	326
gene_186	482	136	29	640
gene_187	266	388	846	129
gene_188	565	789	747	312
gene_189	913	693	265	583
gene_190	902	595	746	759
gene_191	275	125	672	552
gene_192	322	556	173	688
gene_193	986	450	670	372
gene_194	620	766	930	907
gene_195	937	27	851	976
gene_196	467	196	781	766
gene_197	407	881	686	13
gene_198	660	111	592	523
gene_199	153	969	404	799
gene_200	573	386	129	208
gene_201	239	859	820	387
gene_202	962	887	717	543
gene_203	602	490	789	745
gene_204	516	718	19	334
gene_205	403	487	175	326
gene_206	880	989	599	424
gene_207	365	66	82	277
gene_208	289	159	708	626
gene_209	171	786	564	45
gene_210	173	543	284	607
gene_211	483	417	393	418
gene_212	254	999	673	45
gene_213	217	256	163	993
gene_214	675	508	109	627
gene_215	49	80	534	839
gene_216	701	814	104	398
gene_217	353	383	94	953
gene_218	410	802	640	379
gene_219	821	199	564	820
gene_220	919	946	306	8
gene_221	283	346	267	874
gene_222	961	523	633	75
gene_223	729	113	831	817
gene_224	687	886	52	586
gene_225	54	954	992	683
gene_226	396	41	23	714
gene_227	478	494	181	281
gene_228	561	227	329	674
gene_229	699	859	855	298
gene_230	916	531	185	571
gene_231	619	6	796	56
gene_232	429	278	859	348
gene_233	543	326	473	498
gene_234	59	589	649	532
gene_235	262	250	326	816
gene_236	398	44	467	511
gene_237	199	112	942	849
gene_238	832	704	246	595
gene_239	154	939	23	538
gene_240	804	312	967	627
gene_241	547	79	261	293
gene_242	663	322	654	568
gene_243	173	625	76	1000
gene_244	633	441	969	921
gene_245	313	802	919	770
gene_246	725	280	868	844
gene_247	400	571	425	922
gene_248	969	43	781	601
gene_249	967	192	301	368
gene_250	727	727	290	747
gene_251	258	827	999	485
gene_252	223	511	987	6
gene_253	593	568	481	673
gene_254	268	2	763	404
gene_255	532	145	329	953
gene_256	786	866	237	135
gene_257	169	83	618	378
gene_258	405	245	341	900
gene_259	472	982	59	804
gene_260	868	578	982	507
gene_261	926	249	688	19
gene_262	882	615	862	251
gene_263	675	33	462	307
gene_264	950	147	127	662
gene_265	517	703	681	99
gene_266	577	66	21	965
gene_267	337	622	164	867
gene_268	348	937	896	286
gene_269	21	89	154	435
gene_270	503	973	259	342
gene_271	871	27	245	349
gene_272	7	726	313	305
gene_273	73	454	222	915
gene_274	165	567	32	284
gene_275	771	873	903	868
gene_276	735	555	959	817
gene_277	972	738	943	185
gene_278	467	624	454	228
gene_279	75	312	438	666
gene_280	649	393	51	469
gene_281	759	203	360	111
gene_282	138	853	897	147
gene_283	397	607	372	318
gene_284	226	756	504	608
gene_285	59	563	528	947
gene_286	396	277	171	423
gene_287	66	736	539	927
gene_288	227	550	111	101
gene_289	56	347	614	866
gene_290	671	515	545	261
gene_291	298	816	228	285
gene_292	102	527	902	167
gene_293	73	204	199	31
gene_294	881	848	422	99
gene_295	754	371	884	121
gene_296	817	304	239	195
gene_297	982	771	292	830
gene_298	104	734	877	16
gene_299	100	839	619	386
gene_300	799	569	857	914
gene_301	785	27	478	16
gene_302	10	487	894	310
gene_303	779	543	170	429
gene_304	730	837	621	563
gene_305	631	729	723	921
gene_306	481	556	191	517
gene_307	157	74	569	740
gene_308	9	137	672	618
gene_309	453	685	919	207
gene_310	493	101	326	509
gene_311	390	205	547	62
gene_312	465	367	6	775
gene_313	714	846	371	205
gene_314	56	238	638	857
gene_315	355	705	610	514
gene_316	803	109	818	252
gene_317	836	779	119	813
gene_318	239	256	664	68
gene_319	355	548	202	27
gene_320	857	35	587	597
gene_321	854	806	695	847
gene_322	297	338	529	453
gene_323	148	916	370	503
gene_324	704	358	699	210
gene_325	105	975	474	716
gene_326	35	385	232	537
gene_327	999	489	455	50
gene_328	36	491	80	823
gene_329	339	13	258	253
gene_330	915	642	555	522
gene_331	618	513	23	328
gene_332	287	321	212	111
gene_333	738	582	637	852
gene_334	834	618	717	625
gene_335	315	439	777	848
gene_336	493	171	74	127
gene_337	698	715	100	669
gene_338	642	748	946	608
gene_339	644	844	931	946
gene_340	978	535	922	581
gene_341	415	303	650	304
gene_342	120	457	157	935
gene_343	527	385	910	845
gene_344	226	250	922	425
gene_345	487	655	170	486
gene_346	371	955	74	769
gene_347	983	292	567	253
gene_348	389	651	366	812
gene_349	230	537	461	822
gene_350	624	598	465	418
gene_351	137	26	779	916
gene_352	968	6	824	72
gene_353	516	132	283	810
gene_354	164	26	730	486
gene_355	622	93	496	306
gene_356	986	476	67	618
gene_357	669	197	39	320
gene_358	419	815	238	653
gene_359	324	245	219	916
gene_360	835	489	423	570
gene_361	145	649	550	638
gene_362	194	160	714	417
gene_363	897	837	241	797
gene_364	309	437	896	862
gene_365	364	234	483	368
gene_366	784	300	264	488
gene_367	194	160	321	896
gene_368	19	586	665	464
gene_369	407	150	728	210
gene_370	484	180	572	677
gene_371	422	340	879	734
gene_372	343	185	410	653
gene_373	867	406	206	208
gene_374	456	614	471	961
gene_375	534	686	380	8
gene_376	964	824	248	902
gene_377	775	375	925	91
gene_378	210	953	467	837
gene_379	309	20	15	555
gene_380	971	613	943	604
gene_381	585	464	375	812
gene_382	761	355	9	264
gene_383	373	883	981	41
gene_384	769	77	378	139
gene_385	538	883	986	106
gene_386	914	189	140	176
gene_387	186	216	563	961
gene_388	283	870	795	195
gene_389	96	62	195	333
gene_390	211	236	711	693
gene_391	977	993	566	694
gene_392	297	679	11	287
gene_393	726	436	258	300
gene_394	786	378	472	431
gene_395	106	462	927	383
gene_396	240	802	995	907
gene_397	271	663	211	535
gene_398	102	467	546	608
gene_399	119	54	646	505
gene_400	991	238	901	505
gene_401	986	234	733	424
gene_402	138	231	610	218
gene_403	905	63	225	320
gene_404	577	498	916	242
gene_405	396	245	803	2
gene_406	450	758	313	225
gene_407	707	548	228	969
gene_408	83	948	658	433
gene_409	340	87	736	963
gene_410	681	948	466	257
gene_411	318	723	864	136
gene_412	832	922	675	563
gene_413	216	614	162	434
gene_414	498	162	13	863
gene_415	277	184	866	916
gene_416	193	730	102	619
gene_417	951	590	313	841
gene_418	322	313	435	289
gene_419	479	773	616	899
gene_420	29	337	340	142
gene_421	548	856	580	143
gene_422	645	581	830	580
gene_423	597	416	335	995
gene_424	323	933	383	534
gene_425	891	463	606	129
gene_426	627	100	496	178
gene_427	304	466	110	775
gene_428	389	984	846	651
gene_429	161	925	446	557
gene_430	863	436	751	746
gene_431	953	870	796	344
gene_432	564	301	391	392
gene_433	330	798	16	353
gene_434	997	801	744	623
gene_435	236	388	69	162
gene_436	613	382	532	247
gene_437	109	646	124	948
gene_438	488	862	676	988
gene_439	100	657	57	536
gene_440	162	517	798	46
gene_441	284	150	663	603
gene_442	584	613	245	722
gene_443	732	43	161	583
gene_444	166	499	59	527
gene_445	867	740	16	354
gene_446	709	754	834	81
gene_447	761	64	263	129
gene_448	148	443	56	367
gene_449	359	501	349	601
gene_450	674	271	581	239
gene_451	524	599	804	19
gene_452	350	736	341	311
gene_453	241	714	136	79
gene_454	59	117	774	252
gene_455	237	576	877	142
gene_456	890	798	988	371
gene_457	812	233	655	141
gene_458	748	725	255	568
gene_459	156	838	642	543
gene_460	126	120	451	165
gene_461	975	959	198	945
gene_462	437	748	607	626
gene_463	465	811	975	66
gene_464	166	191	200	182
gene_465	585	27	435	668
gene_466	272	864	340	907
gene_467	231	919	35	816
gene_468	692	138	100	443
gene_469	284	478	420	162
gene_470	811	463	48	167
gene_471	95	700	28	479
gene_472	822	67	174	396
gene_473	428	733	379	795
gene_474	756	397	589	770
gene_475	663	462	337	400
gene_476	445	726	495	631
gene_477	628	471	753	413
gene_478	1	1000	170	366
gene_479	218	846	844	621
gene_480	705	828	321	956
gene_481	216	762	235	477
gene_482	814	113	311	621
gene_483	308	839	790	290
gene_484	688	814	255	408
gene_485	933	991	923	445
gene_486	117	49	149	284
gene_487	129	747	217	970
gene_488	679	420	626	883
gene_489	430	583	258	809
gene_490	835	831	707	709
gene_491	971	15	743	181
gene_492	71	13	263	65
gene_493	460	996	573	107
gene_494	702	766	916	848
gene_495	88	315	709	360
gene_496	993	812	845	785
gene_497	254	991	920	908
gene_498	50	202	295	634
gene_499	687	646	651	616
gene_500	787	438	143	68
gene_501	354	938	854	242
gene_502	367	988	666	411
gene_503	288	457	734	811
gene_504	81	231	315	380
gene_505	366	696	668	448
gene_506	179	557	464	571
gene_507	537	585	651	132
gene_508	504	434	786	14
gene_509	945	427	902	678
gene_510	342	597	528	835
gene_511	465	453	159	936
gene_512	83	957	270	59
gene_513	860	845	135	668
gene_514	396	224	238	386
gene_515	736	421	723	577
gene_516	173	421	627	140
gene_517	455	22	453	257
gene_518	770	381	635	314
gene_519	64	423	530	715
gene_520	815	192	331	189
gene_521	302	706	771	143
gene_522	365	15	635	575
gene_523	313	731	775	50
