"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_1",203.254369100002,-0.639488602440608,0.913572072819263,-0.699987030543918,0.483935404010263,0.990283420973561
"gene_2",537.887168944887,-0.386004421748967,0.82904505404005,-0.465601259989327,0.641500940919843,0.990283420973561
"gene_3",239.908475426578,-0.143062280690104,1.02438734401502,-0.139656431257126,0.888931451771327,0.990283420973561
"gene_4",629.27661955024,-0.633145944432932,0.403412696956649,-1.56947450888233,0.116537414626346,0.814442135298758
"gene_5",541.323212830619,-1.42045211244205,0.678421953040519,-2.0937590625951,0.0362814486070469,0.585184654952369
"gene_6",391.460188806573,1.25833330676052,1.11990998876989,1.12360218176344,0.26118183013646,0.953218358162262
"gene_7",541.937863669203,-0.169351019180963,0.614072421426682,-0.275783463434992,0.78271438561823,0.990283420973561
"gene_8",380.630260827922,-1.14663268672315,1.15818951162726,-0.990021646036258,0.322163538970232,0.980297576089689
"gene_9",323.531744330074,0.452604273683077,1.58661203007176,0.285264617376314,0.775441418350811,0.990283420973561
"gene_10",424.334675592037,0.195788388776334,0.919016706858048,0.213041163795268,0.831294855528296,0.990283420973561
"gene_11",709.312972206855,0.340297969017912,0.341392075633658,0.99679516106601,0.318863947535825,0.980297576089689
"gene_12",376.529106944241,0.19778457485548,0.929408378495037,0.212806963474707,0.831477532084505,0.990283420973561
"gene_13",459.054502044229,0.494587953592524,0.859678701958567,0.575317211495093,0.565076783282338,0.990283420973561
"gene_14",381.068741394108,-0.732859554703447,1.17398759949912,-0.624248122395943,0.532464647782072,0.990283420973561
"gene_15",285.554785583212,3.23851958541775,1.20734147554599,2.68235594569731,0.00731056293383181,0.348122044468181
"gene_16",418.07158720795,-2.90333588647962,1.00143752986207,-2.89916824555148,0.00374154064222884,0.317697524382161
"gene_17",523.573380932282,0.962326179611122,0.668751105155356,1.43899004008011,0.150153344691358,0.852372462597692
"gene_18",294.53091908947,-0.06433410771182,1.24685357909454,-0.0515971632840313,0.958849679702452,0.990283420973561
"gene_19",422.009241359253,0.487579485717954,0.873293700372746,0.558322458423599,0.57662421177054,0.990283420973561
"gene_20",306.154744667367,-3.01131651151006,1.36561209397759,-2.20510386865355,0.0274468066811681,0.571808472524335
"gene_21",603.017893180516,0.0333863560370674,0.60487239231134,0.0551957015420911,0.955982553389651,0.990283420973561
"gene_22",577.789266401054,-0.385234476001347,0.545576473790425,-0.706105366539924,0.480122614625007,0.990283420973561
"gene_23",501.811014020622,-0.223316141451585,1.02097565916355,-0.218728173827905,0.826861800806312,0.990283420973561
"gene_24",420.308425944713,-1.42500848170622,0.89087430817114,-1.59956176604935,0.109695836038727,0.814442135298758
"gene_25",513.516236240474,-0.761874075024903,0.866449037311409,-0.879306274479799,0.3792352347582,0.980297576089689
"gene_26",461.223079909168,0.0498503742121839,0.88111481041935,0.056576479730784,0.954882570983041,0.990283420973561
"gene_27",583.348110850432,0.433255859068092,0.50813339609443,0.852641968424324,0.393857881417845,0.980297576089689
"gene_28",561.668783403817,0.511574567549705,0.57970926842054,0.882467463291603,0.37752406726981,0.980297576089689
"gene_29",296.886023618443,0.492417010952804,0.914909105400854,0.538214133017136,0.590429223991979,0.990283420973561
"gene_30",517.57665692496,1.22816820616321,0.762817351938329,1.61004230310496,0.107388621439693,0.814442135298758
"gene_31",539.863122227666,0.0677227877803058,0.753133597916127,0.0899213472452836,0.92834971722238,0.990283420973561
"gene_32",535.579906293014,-0.555113192007651,0.623628599082029,-0.890134276755057,0.373393789833987,0.980297576089689
"gene_33",463.905331215841,-0.237505495252729,0.751307858954219,-0.316122735070713,0.751909350840277,0.990283420973561
"gene_34",298.647406826685,-1.11989705096509,1.10645533036406,-1.01214845302125,0.311467078255776,0.980297576089689
"gene_35",326.011448653402,0.366713231850826,1.39563563350987,0.26275714308654,0.792737769932193,0.990283420973561
"gene_36",482.56526583853,0.183662355351907,0.702691201420962,0.261369937435548,0.793807237927112,0.990283420973561
"gene_37",431.724143206861,0.205145180476709,0.965945168269775,0.212377666161082,0.831812408184116,0.990283420973561
"gene_38",397.103765854991,0.403667353140941,1.1712158847651,0.344656658428006,0.730352505328705,0.990283420973561
"gene_39",452.608850432139,0.811923041124513,0.831264191814053,0.976732847535111,0.32870142883261,0.980297576089689
"gene_40",503.936082261376,1.2432420852921,0.677647816804217,1.83464338622859,0.0665585457436334,0.731412590589378
"gene_41",426.46430777029,-0.0214095263878793,0.989931413287279,-0.0216272825576717,0.982745270284943,0.994681447656825
"gene_42",295.190956665431,-2.46134123480244,1.10957405435769,-2.21827576549386,0.0265360355224497,0.571808472524335
"gene_43",370.365007888869,-0.103435512167832,0.866142046490215,-0.119420957090092,0.904941858746597,0.990283420973561
